"[2J[H[3JModel,TekscopeSW"
"Label,CH1"
"Waveform Type,ANALOG"
"Horizontal Units,s"
"Sample Interval,1.25E-06"
"Record Length,200"
"Zero Index,0"
"Vertical Units,V"
","
"Labels,"
"TIME,CH1"
"0.0E-06,396.0"
"1.250E-06,270.0"
"2.500E-06,202.0"
"3.750E-06,540.0"
"5.0E-06,725.0"
"6.250E-06,937.0"
"7.500E-06,1114.0"
"8.750E-06,1326.0"
"10.0E-06,1499.0"
"11.250E-06,1673.0"
"12.500E-06,1830.0"
"13.750E-06,1880.0"
"15.0E-06,1823.0"
"16.250E-06,1639.0"
"17.500E-06,1478.0"
"18.750E-06,1291.0"
"20.0E-06,1120.0"
"21.250E-06,911.0"
"22.500E-06,740.0"
"23.750E-06,535.0"
"25.0E-06,397.0"
"26.250E-06,273.0"
"27.500E-06,170.0"
"28.750E-06,536.0"
"30.0E-06,715.0"
"31.250E-06,929.0"
"32.500E-06,1101.0"
"33.750E-06,1322.0"
"35.0E-06,1484.0"
"36.250E-06,1675.0"
"37.500E-06,1814.0"
"38.750E-06,1911.0"
"40.0E-06,1805.0"
"41.250E-06,1659.0"
"42.500E-06,1478.0"
"43.750E-06,1308.0"
"45.0E-06,1131.0"
"46.250E-06,919.0"
"47.500E-06,746.0"
"48.750E-06,550.0"
"50.0E-06,403.0"
"51.250E-06,266.0"
"52.500E-06,155.0"
"53.750E-06,530.0"
"55.0E-06,717.0"
"56.250E-06,912.0"
"57.500E-06,1110.0"
"58.750E-06,1312.0"
"60.0E-06,1482.0"
"61.250E-06,1670.0"
"62.500E-06,1810.0"
"63.750E-06,1926.0"
"65.0E-06,1802.0"
"66.250E-06,1669.0"
"67.500E-06,1494.0"
"68.750E-06,1312.0"
"70.0E-06,1148.0"
"71.250E-06,932.0"
"72.500E-06,761.0"
"73.750E-06,560.0"
"75.0E-06,413.0"
"76.250E-06,278.0"
"77.500E-06,126.0"
"78.750E-06,531.0"
"80.0E-06,716.0"
"81.250E-06,916.0"
"82.500E-06,1100.0"
"83.750E-06,1313.0"
"85.0E-06,1481.0"
"86.250E-06,1672.0"
"87.500E-06,1811.0"
"88.750E-06,1949.0"
"90.0E-06,1786.0"
"91.250E-06,1694.0"
"92.500E-06,1493.0"
"93.750E-06,1340.0"
"95.0E-06,1148.0"
"96.250E-06,948.0"
"97.500E-06,772.0"
"98.750E-06,570.0"
"100.0E-06,423.0"
"101.250E-06,264.0"
"102.500E-06,107.0"
"103.750E-06,532.0"
"105.0E-06,704.0"
"106.250E-06,906.0"
"107.500E-06,1090.0"
"108.750E-06,1299.0"
"110.0E-06,1474.0"
"111.250E-06,1649.0"
"112.500E-06,1808.0"
"113.750E-06,1915.0"
"115.0E-06,1767.0"
"116.250E-06,1690.0"
"117.500E-06,1489.0"
"118.750E-06,1331.0"
"120.0E-06,1149.0"
"121.250E-06,939.0"
"122.500E-06,772.0"
"123.750E-06,561.0"
"125.0E-06,426.0"
"126.250E-06,240.0"
"127.500E-06,68.0"
"128.750E-06,519.0"
"130.0E-06,694.0"
"131.250E-06,891.0"
"132.500E-06,1082.0"
"133.750E-06,1287.0"
"135.0E-06,1462.0"
"136.250E-06,1646.0"
"137.500E-06,1795.0"
"138.750E-06,1924.0"
"140.0E-06,1751.0"
"141.250E-06,1696.0"
"142.500E-06,1486.0"
"143.750E-06,1339.0"
"145.0E-06,1143.0"
"146.250E-06,952.0"
"147.500E-06,768.0"
"148.750E-06,578.0"
"150.0E-06,419.0"
"151.250E-06,256.0"
"152.500E-06,45.0"
"153.750E-06,520.0"
"155.0E-06,688.0"
"156.250E-06,880.0"
"157.500E-06,1067.0"
"158.750E-06,1282.0"
"160.0E-06,1448.0"
"161.250E-06,1642.0"
"162.500E-06,1782.0"
"163.750E-06,1932.0"
"165.0E-06,1730.0"
"166.250E-06,1700.0"
"167.500E-06,1503.0"
"168.750E-06,1348.0"
"170.0E-06,1154.0"
"171.250E-06,967.0"
"172.500E-06,778.0"
"173.750E-06,585.0"
"175.0E-06,436.0"
"176.250E-06,253.0"
"177.500E-06,23.0"
"178.750E-06,520.0"
"180.0E-06,693.0"
"181.250E-06,861.0"
"182.500E-06,1071.0"
